Stadt,"Post-leitzahl 1)","Fläche in km2 2)",weiblich
"Lübbecke, Stadt",32312,65.04,13142
"Plettenberg, Stadt",58840,96.76,12800
"Rinteln, Stadt",31737,109.02,13010
"Zirndorf, St",90513,28.79,13205
"Verl, Stadt",33415,71.37,12446
"Bingen am Rhein, Stadt",55411,37.71,12917
"Pfaffenhofen a.d.Ilm, St",85276,92.64,12746
"Werder (Havel), Stadt",14542,117.05,12837
"Petershagen, Stadt",32469,211.94,12583
"Achern, Stadt",77855,65.24,12756
"Friedrichsdorf, Stadt",61381,30.16,12812
"Lindau (Bodensee), GKSt",88131,33.06,13138
"Ludwigsfelde, Stadt",14974,109.98,12766
"Rottweil, Stadt",78628,71.76,12805
"Norden, Stadt",26506,106.32,12925
"Wiehl, Stadt",51674,53.26,12965
"Salzkotten, Stadt",33154,109.8,12685
"Roth, St",91154,96.33,12857
"Warstein, Stadt",59581,158.03,12516
"Sprockhövel, Stadt",45549,47.94,12958
"Bad Oldesloe, Stadt",23843,52.6,12825
"Ingelheim am Rhein, Stadt",55218,49.86,12661
"Schmallenberg, Stadt",57392,303.1,12308
"Saalfeld/Saale, Stadt",7318,48.73,12919
"Harsewinkel, Die Mähdrescherstadt",33428,100.59,12278
"Delitzsch, Stadt",4509,85.92,12675
"Weingarten, Stadt",88250,12.16,12918
"Schleswig, Stadt",24837,24.3,12702
"Senftenberg, Stadt",1968,127.56,12710
"Espelkamp, Stadt",32339,84.21,12674
"Ditzingen, Stadt",71254,30.38,12433
"Groß-Gerau, Stadt",64521,54.48,12412
"Horb am Neckar, Stadt",72160,119.76,12206
"Pfungstadt, Stadt",64319,42.53,12505
"Ellwangen (Jagst), Stadt",73479,127.38,12177
"Obertshausen, Stadt",63179,13.62,12597
"Idstein, Hochschulstadt",65510,79.69,12716
"Lüdinghausen, Stadt",59348,140.54,12341
"Meckenheim, Stadt",53340,34.84,12564
"Olpe, Stadt",57462,85.88,12580
"Geretsried, St",82538,24.6,12427
"Markkleeberg, Stadt",4416,31.44,12784
"Quedlinburg, Welterbestadt",6484,120.44,12793
"Arnstadt, Stadt",99310,55.08,12481
"Syke, Stadt",28857,128.11,12280
"Attendorn, Hansestadt",57439,97.95,12118
"Rathenow, Stadt",14712,113.1,12471
"Salzwedel, Hansestadt",29410,304.58,12171
"Stutensee, Stadt",76297,45.68,12219
"Übach-Palenberg, Stadt",52531,26.12,12031
"Limbach-Oberfrohna, Stadt",9212,50.21,12412
"Ronnenberg, Stadt",30952,37.89,12114
"Eisleben, Lutherstadt",6295,143.87,12248
"Varel, Stadt",26316,113.75,12290
"Waldshut-Tiengen, Stadt",79761,77.97,12135
"Döbeln, Stadt",4720,91.74,12125
"Sonneberg, Stadt",96515,84.69,12253
"Hann. Münden, Stadt",34346,121.16,12076
"Öhringen, Stadt",74613,67.79,11909
"Haren (Ems), Stadt",49733,208.79,11759
"Sehnde, Stadt",31319,103.58,11693
"Korbach, Hansestadt, Kreisstadt",34497,123.98,12100
"Bedburg, Stadt",50181,80.42,11671
"Dillenburg, Stadt",35683,83.89,11928
"Warburg, Hansestadt",34414,168.84,11774
"Netphen, Stadt",57250,137.39,11674
"Riedstadt, Stadt",64560,73.73,11722
"Helmstedt, Stadt",38350,47.14,11989
"Bad Mergentheim, Stadt",97980,129.96,11962
"Starnberg, St",82319,61.85,12303
"Calw, Stadt",75365,59.88,11432
"Walsrode, Stadt",29664,272.29,11706
"Mosbach, Stadt",74821,62.17,11644
"Husum, Stadt",25813,25.81,12022
"Herzogenaurach, St",91074,47.62,11487
"Wertheim, Stadt",97877,138.59,11564
"Waldkraiburg, St",84478,21.56,11558
"Glauchau, Stadt",8371,51.62,11649
"Burg, Stadt",39288,164.05,11282
"Gardelegen, Hansestadt",39638,632.43,11415
"Gelnhausen, Barbarossast., Krst.",63571,45.19,11572
"Freudenstadt, Stadt",72250,87.54,11737
"Herdecke, Stadt",58313,22.39,11927
"Spremberg, Stadt",3130,202.32,11685
"Rudolstadt, Stadt",7407,55.41,11685
"Vreden, Stadt",48691,135.83,11078
"Überlingen, Stadt",88662,58.66,12056
"Lengerich, Stadt",49525,90.79,11385
"Leutkirch im Allgäu, Stadt",88299,174.98,11217
"Radevormwald, Stadt auf der Höhe",42477,53.86,11512
"Westerstede, Stadt",26655,179.55,11427
"Bad Soden am Taunus, Stadt",65812,12.55,11698
"Donaueschingen, Stadt",78166,104.67,11034
"Weilheim i.OB, St",82362,55.5,11599
"Apolda, Stadt",99510,46.27,11313
"Karben, Stadt",61184,43.94,11132
"Stadthagen, Stadt",31655,60.27,11443
"Senden, St",89250,25.21,11310
"Gersthofen, St",86368,34.01,11136
"Friesoythe, Stadt",26169,247.49,10948
"Osterode am Harz, Stadt",37520,102.54,11085
"Sondershausen, Stadt",99706,201.21,11187
"Bad Harzburg, Stadt",38667,65.52,11709
"Nagold, Stadt",72202,63.09,11028
"Eckernförde, Stadt",24340,21.38,11513
"Büdingen, Stadt",63654,122.88,10892
"Bad Kissingen, GKSt",97688,69.92,11801
"Zerbst/Anhalt, Stadt",39261,467.77,11123
