Stadt,"Post-leitzahl 1)","Fläche in km2 2)",weiblich
"Netzschkau, Stadt",8491,12.51,2061
"Amorbach, St",63916,50.9,2038
"Eschenbach i.d.OPf., St",92676,35.13,2071
"Lorch, Stadt",65391,54.53,1949
"Mirow, Stadt",17252,158.3,2054
"Lambrecht (Pfalz), Stadt",67466,8.32,2041
"Seßlach, St",96145,72.53,1935
"Steinach, Stadt",96523,26.35,2007
"Kirchberg (Hunsrück), Stadt",55481,18.05,1974
"Wolkenstein, Stadt",9429,30.51,1982
"Regis-Breitingen, Stadt",4565,26.37,1905
"Neukloster, Stadt",23992,27.51,1926
"Hoya, Stadt",27318,8.42,1973
"Neubukow, Stadt",18233,25.12,1955
"Neckarsteinach, Stadt",69239,17.23,1929
"Tessin, Stadt",18195,24.51,1981
"Trebsen/Mulde, Stadt",4687,35.03,1941
"Bad Karlshafen, Stadt",34385,14.85,1884
"Vöhrenbach, Stadt",78147,70.47,1876
"Schiltach, Stadt",77761,34.21,1943
"Mühlberg/Elbe, Stadt",4931,89.2,1905
"Deidesheim, Stadt",67146,26.54,1968
"Lucka, Stadt",4613,12.93,1968
"Gehren, Stadt",98708,43.79,1877
"Freudenberg, Stadt",97896,34.76,1881
"Marktbreit, St",97340,20.16,1811
"Strehla, Stadt",1616,30.28,1913
"Seifhennersdorf, Stadt",2782,19.12,1910
"Bad Elster, Stadt",8645,19.77,1939
"Triptis, Stadt",7819,33.15,1901
"Ellingen, St",91792,31.25,1848
"Ruhland, Stadt",1945,37.22,1890
"Tegernsee, St",83684,22.77,1960
"Bad Schandau, Stadt",1814,46.76,1870
"Grünsfeld, Stadt",97947,44.72,1818
"Schlotheim, Stadt",99994,22.4,1879
"Wildenfels, Stadt",8134,20.69,1824
"Königsberg i.Bay., St",97486,61.88,1823
"Tanna, Stadt",7922,87.35,1836
"Greußen, Stadt",99718,19.21,1832
"Bad Muskau, Stadt",2953,15.38,1864
"Auma-Weidatal, Stadt",7955,55.91,1805
"Bad Köstritz, Stadt",7586,16.93,1876
"Goldberg, Stadt",19399,64.72,1846
"Gröningen, Stadt",39397,59.68,1797
"Mühlheim an der Donau, Stadt",78570,21.74,1794
"Geyer, Stadt",9468,18.56,1827
"Welzow, Stadt",3119,39.57,1803
"Langewiesen, Stadt",98704,27.51,1772
"Münstermaifeld, Stadt",56294,27.77,1792
"Krakow am See, Stadt",18292,87.37,1749
"Rehna, Stadt",19217,44.59,1755
"Goldkronach, St",95497,23.24,1778
"Saalburg-Ebersdorf, Stadt",7929,72.05,1765
"Eschershausen, Stadt",37632,23.92,1722
"Weißensee, Stadt",99631,46.71,1761
"Hirschhorn (Neckar), Stadt",69434,30.86,1743
"Joachimsthal, Stadt",16247,121.73,1703
"Gößnitz, Stadt",4639,14.07,1773
"Rötz, St",92444,66.68,1679
"Ludwigsstadt, St",96337,58.75,1727
"Kelbra (Kyffhäuser), Stadt",6537,40.55,1721
"Neustadt (Dosse), Stadt",16845,75.87,1743
"Owen, Stadt",73277,9.7,1694
"Neusalza-Spremberg, Stadt",2742,22.91,1732
"Speicher, Stadt",54662,15.36,1712
"Bernstadt a. d. Eigen, Stadt",2748,52,1702
"Wasungen, Stadt",98634,29.51,1681
"Lauscha, Stadt",98724,18.72,1717
"Kranichfeld, Stadt",99448,23.1,1699
"Kaltennordheim, Stadt",36452,40.47,1660
"Berga/Elster, Stadt",7980,43.52,1695
"Ostheim v.d.Rhön, St",97645,40.85,1673
"Hohnstein, Stadt",1848,64.64,1664
"Egeln, Stadt",39435,29.14,1691
"Ulmen, Stadt",56766,28.74,1676
"Kirchenlamitz, St",95158,48.48,1676
"Döbern, Stadt",3159,15.79,1717
"Wesselburen, Stadt",25764,5.14,1704
"Oberriexingen, Stadt",71739,8.16,1625
"Löwenstein, Stadt",74245,23.46,1627
"Stromberg, Stadt",55442,9.01,1698
"Sonnewalde, Stadt",3249,119.29,1594
"Nebra (Unstrut), Stadt",6642,25.42,1656
"Havelsee, Stadt",14798,81.97,1609
"Warin, Stadt",19417,44.45,1659
"Lychen, Stadt",17279,111.99,1661
"Wurzbach, Stadt",7343,72.32,1611
"Kirtorf, Stadt",36320,79.91,1590
"Burgbernheim, St",91593,42.3,1617
"Schöneck/Vogtl., Stadt",8261,55.06,1647
"Schönwald, St",95173,19.19,1653
"Bärnau, St",95671,74.41,1531
"Kaisersesch, Stadt",56759,8.18,1625
"Hillesheim, Stadt",54576,20.66,1601
"Weißenberg, Stadt",2627,50.96,1527
"Weißenstadt, St",95163,42.23,1613
"Lebus, Stadt",15326,54.29,1562
"Stadtsteinach, St",95346,39.79,1609
"Fridingen an der Donau, Stadt",78567,22.47,1572
"Liebenau, Stadt",34396,48.87,1615
"Klütz, Stadt",23948,44.41,1619
"Marktleuthen, St",95168,35.48,1586
"Bad Teinach-Zavelstein, Stadt",75385,25.17,1497
"Prichsenstadt, St",97357,48.87,1501
"Schönewalde, Stadt",4916,156.18,1476
"Bürgel, Stadt",7616,27.19,1547
"Waischenfeld, St",91344,57.19,1486
"Hatzfeld (Eder), Stadt",35116,58.51,1495
"Wolframs-Eschenbach, St",91639,25.47,1535
"Dömitz, Stadt",19303,60.57,1554
"Gützkow, Stadt",17506,57.65,1514
"Wesenberg, Stadt",17255,89.64,1532
"Eibelstadt, St",97246,7.07,1580
"Braubach, Stadt",56338,19.5,1512
"Waldenburg, Stadt",74638,31.55,1478
"Lindow (Mark), Stadt",16835,65.47,1476
"Ulrichstein, Stadt",35327,65.61,1477
"Jarmen, Stadt",17126,30.71,1483
"Friedland, Stadt",15848,174.23,1463
"Münchenbernsdorf, Stadt",7589,15.45,1526
"Schalkau, Stadt",96528,33.57,1470
"Merkendorf, St",91732,26.07,1449
"Frankenau, Stadt",35110,57.29,1456
"Adenau, Stadt",53518,18.56,1495
"Rhens, Stadt",56321,16.31,1491
"Gnoien, Stadt",17179,41.11,1479
"Laucha an der Unstrut, Stadt",6636,31.14,1438
"Remda-Teichel, Stadt",7407,79.76,1419
"Elterlein, Stadt",9481,45.74,1451
"Themar, Stadt",98660,20.18,1484
"Frauenstein, Stadt",9623,59,1418
"Meisenheim, Stadt",55590,10.33,1459
"Wustrow (Wendland), Stadt",29462,30.19,1430
"Oberwesel, Stadt",55430,18.08,1469
"Ravenstein, Stadt",74747,55.97,1369
"Elstra, Stadt",1920,32.63,1397
"Schillingsfürst, St",91583,27.5,1411
"Bad Bibra, Stadt",6647,49.77,1390
"Selters (Westerwald), Stadt",56242,8.7,1407
"Jöhstadt, Stadt",9477,49.7,1343
"Wallenfels, St",96346,45.65,1373
"Sankt Goar, Stadt",56329,23.17,1368
"Putlitz, Stadt",16949,119.68,1318
"Romrod, Stadt",36329,54.43,1380
"Sulzburg, Stadt",79295,22.74,1392
"Tribsees, Stadt",18465,54.98,1349
"Garding, Stadt",25836,3.06,1375
"Ebeleben, Stadt",99713,40.74,1300
"Großbreitenbach, Stadt",98701,19.6,1271
"Wegeleben, Stadt",38828,51.78,1276
"Schkölen, Stadt",7619,53.43,1268
"Kohren-Sahlis, Stadt",4655,36.8,1286
"Alsleben (Saale), Stadt",6425,23.64,1349
"Bad Wilsnack, Stadt",19336,79.62,1342
"Golßen, Stadt",15938,63.68,1296
"Lauterstein, Stadt",73111,23.31,1310
"Brüel, Stadt",19412,27.21,1301
"Friesack, Stadt",14662,84.01,1261
"Friedrichstadt, Stadt",25840,4.03,1333
"Schwanebeck, Stadt",39397,32.66,1283
"Gartz (Oder), Stadt",16307,61.89,1288
"Bad Tennstedt, Stadt",99955,27.42,1274
"Dommitzsch, Stadt",4880,30.44,1266
"Scheer, Stadt",72516,18.72,1220
"Gefell, Stadt",7926,45.22,1265
"Betzenstein, St",91282,51.84,1239
"Buttstädt, Stadt",99628,18.36,1246
"Osterfeld, Stadt",6721,27.61,1201
"Rastenberg, Stadt",99636,35.52,1231
"Schönau im Schwarzwald, Stadt",79677,14.72,1225
"Schönsee, St",92539,50.28,1223
"Ziesar, Stadt",14793,67.95,1248
"Pleystein, St",92714,42.4,1220
"Schlieben, Stadt",4936,78.65,1223
"Stadtlengsfeld, Stadt",36457,27.7,1186
"Großenehrich, Stadt",99718,63.34,1192
"Eckartsberga, Stadt",6648,35.97,1177
"Grebenau, Stadt",36323,55.37,1172
"Schlettau, Stadt",9487,21.22,1242
"Krempe, Stadt",25361,3.39,1211
"Ostritz, Stadt",2899,23.48,1205
"Creuzburg, Stadt",99831,35.4,1195
"Rethem (Aller), Stadt",27336,34.03,1180
"Fladungen, St",97650,46.34,1137
"Aach, Stadt",78267,10.68,1102
"Heldrungen, Stadt",6577,23.27,1156
"Katzenelnbogen, Stadt",56368,9.18,1158
"Garz/Rügen, Stadt",18574,65.89,1102
"Rosenthal, Stadt",35119,51.54,1103
"Hayingen, Stadt",72534,63.36,1076
"Hirschberg, Stadt",7927,24.13,1102
"Oderberg, Stadt",16248,36.12,1077
"Lenzen (Elbe), Stadt",19309,96.19,1111
"Mainbernheim, St",97350,12.21,1071
"Oberwiesenthal, Kurort, Stadt",9484,40.02,1107
"Leutenberg, Stadt",7338,57.52,1089
"Ortrand, Stadt",1990,7.36,1115
"Rerik, Stadt",18230,34.22,1124
"Gebesee, Stadt",99189,24.08,1071
"Königstein/Sächs. Schw., Stadt",1824,27.05,1053
"Veringenstadt, Stadt",72519,31.25,1056
"Meyenburg, Stadt",16945,50.74,1058
"Scheibenberg, Stadt",9481,9,1064
"Lauterecken, Stadt",67742,8.89,1082
"Wiesensteig, Stadt",73349,23.41,1009
"Bad Colberg-Heldburg, Stadt",98663,53.39,1007
"Magdala, Stadt",99441,20.58,1024
"Niemegk, Stadt",14823,45.12,987
"Gräfenthal, Stadt",98743,36.42,1018
"Teuschnitz, St",96358,34.25,1021
"Rieneck, St",97794,26.19,1022
"Wolfstein, Stadt",67752,13.75,979
"Marktsteft, St",97342,10.51,948
"Sachsenhagen, Stadt",31553,15.29,971
"Schauenstein, St",95197,26.66,976
"Bacharach, Stadt",55422,23.35,951
"Wiehe, Stadt",6571,24.51,957
"Plaue, Stadt",99338,18.19,951
"Brüssow, Stadt",17326,101.83,938
"Kindelbrück, Stadt",99638,13.36,948
"Penkun, Stadt",17328,78.88,921
"Teupitz, Stadt",15755,48.15,901
"Sayda, Stadt",9619,35.3,943
"Velden, St",91235,21.34,913
"Widdern, Stadt",74259,25.23,878
"Langenburg, Stadt",74595,31.4,883
"Usedom, Stadt",17406,38.98,921
"Hettingen, Stadt",72513,46.06,895
"Neukalen, Stadt",17154,47.97,884
"Bad Sülze, Stadt",18334,26.66,883
"Ranis, Stadt",7389,10.57,891
"Röttingen, St",97285,27.21,877
"Oberweißbach/Thür. Wald, Stadt",98744,9.65,904
"Lehesten, Stadt",7349,35.94,824
"Ornbau, St",91737,15.16,812
"Oberhof, Stadt",98559,23.4,833
"Rhinow, Stadt",14728,31.66,805
"Stadt Wehlen, Stadt",1829,10.85,788
"Neuerburg, Stadt",54673,10.17,782
"Arneburg, Stadt",39596,30.64,782
"Lassan, Stadt",17440,28.18,734
"Stadtprozelten, St",97909,10.87,726
"Buckow (Märkische Schweiz), Stadt",15377,14.42,756
"Hohenleuben, Stadt",7958,9.53,673
"Aub, St",97239,17.54,718
"Hornbach, Stadt",66500,13.33,724
"Kroppenstedt, Stadt",39397,38.65,718
"Hohenberg a.d.Eger, St",95691,15.66,721
"Franzburg, Stadt",18461,15.2,721
"Schwarzenborn, Stadt",34639,26.9,564
"Manderscheid, Stadt",54531,10.06,719
"Lieberose, Stadt",15868,73.03,682
"Liebstadt, Stadt",1825,37.36,654
"Sankt Goarshausen, Loreleystadt, Stadt",56346,7.06,666
"Richtenberg, Stadt",18461,15.68,660
"Buttelstedt, Stadt",99439,18.85,659
"Neustadt am Kulm, St",95514,20.3,583
"Orlamünde, Stadt",7768,7.47,570
"Schraplau, Stadt",6279,7.06,569
"Werben (Elbe), Hansestadt",39615,53.37,534
"Obermoschel, Stadt",67823,10.15,521
"Kupferberg, St",95362,8.29,515
"Lichtenberg, St",95192,9.47,532
"Clingen, Stadt",99718,10.75,519
"Rothenfels, St",97851,12.07,484
"Stößen, Stadt",6667,7.29,486
"Kyllburg, Stadt",54655,4.62,436
"Sandau (Elbe), Stadt",39524,18.58,445
"Kaub, Stadt",56349,13.05,411
"Märkisch Buchholz, Stadt",15748,24.86,395
"Ziegenrück, Stadt",7924,8.25,343
"Schnackenburg, Stadt",29493,23.76,270
"Neumark, Stadt",99439,8.67,233
"Ummerstadt, Stadt",98663,15.73,228
"Arnis, Stadt",24399,0.45,132
