Stadt,"Post-leitzahl 1)","Fläche in km2 2)",männlich
"Baumholder, Stadt",55774,69.19,1910
"Brück, Stadt",14822,86.19,2084
"Netzschkau, Stadt",8491,12.51,1928
"Amorbach, St",63916,50.9,1949
"Eschenbach i.d.OPf., St",92676,35.13,1915
"Lorch, Stadt",65391,54.53,2037
"Mirow, Stadt",17252,158.3,1924
"Lambrecht (Pfalz), Stadt",67466,8.32,1919
"Seßlach, St",96145,72.53,2004
"Steinach, Stadt",96523,26.35,1892
"Kirchberg (Hunsrück), Stadt",55481,18.05,1921
"Wolkenstein, Stadt",9429,30.51,1912
"Regis-Breitingen, Stadt",4565,26.37,1978
"Neukloster, Stadt",23992,27.51,1955
"Hoya, Stadt",27318,8.42,1907
"Neubukow, Stadt",18233,25.12,1923
"Neckarsteinach, Stadt",69239,17.23,1943
"Tessin, Stadt",18195,24.51,1874
"Trebsen/Mulde, Stadt",4687,35.03,1910
"Bad Karlshafen, Stadt",34385,14.85,1939
"Vöhrenbach, Stadt",78147,70.47,1944
"Schiltach, Stadt",77761,34.21,1875
"Mühlberg/Elbe, Stadt",4931,89.2,1908
"Deidesheim, Stadt",67146,26.54,1829
"Lucka, Stadt",4613,12.93,1822
"Gehren, Stadt",98708,43.79,1905
"Freudenberg, Stadt",97896,34.76,1901
"Marktbreit, St",97340,20.16,1946
"Strehla, Stadt",1616,30.28,1835
"Seifhennersdorf, Stadt",2782,19.12,1837
"Bad Elster, Stadt",8645,19.77,1784
"Triptis, Stadt",7819,33.15,1820
"Ellingen, St",91792,31.25,1865
"Ruhland, Stadt",1945,37.22,1803
"Tegernsee, St",83684,22.77,1732
"Bad Schandau, Stadt",1814,46.76,1812
"Grünsfeld, Stadt",97947,44.72,1860
"Schlotheim, Stadt",99994,22.4,1781
"Wildenfels, Stadt",8134,20.69,1833
"Königsberg i.Bay., St",97486,61.88,1830
"Tanna, Stadt",7922,87.35,1804
"Greußen, Stadt",99718,19.21,1786
"Bad Muskau, Stadt",2953,15.38,1748
"Auma-Weidatal, Stadt",7955,55.91,1801
"Bad Köstritz, Stadt",7586,16.93,1717
"Goldberg, Stadt",19399,64.72,1745
"Gröningen, Stadt",39397,59.68,1786
"Mühlheim an der Donau, Stadt",78570,21.74,1788
"Geyer, Stadt",9468,18.56,1727
"Welzow, Stadt",3119,39.57,1749
"Langewiesen, Stadt",98704,27.51,1772
"Münstermaifeld, Stadt",56294,27.77,1751
"Krakow am See, Stadt",18292,87.37,1752
"Rehna, Stadt",19217,44.59,1737
"Goldkronach, St",95497,23.24,1714
"Saalburg-Ebersdorf, Stadt",7929,72.05,1719
"Eschershausen, Stadt",37632,23.92,1747
"Weißensee, Stadt",99631,46.71,1701
"Hirschhorn (Neckar), Stadt",69434,30.86,1719
"Joachimsthal, Stadt",16247,121.73,1743
"Gößnitz, Stadt",4639,14.07,1671
"Rötz, St",92444,66.68,1759
"Ludwigsstadt, St",96337,58.75,1700
"Kelbra (Kyffhäuser), Stadt",6537,40.55,1703
"Neustadt (Dosse), Stadt",16845,75.87,1663
"Owen, Stadt",73277,9.7,1712
"Neusalza-Spremberg, Stadt",2742,22.91,1673
"Speicher, Stadt",54662,15.36,1684
"Bernstadt a. d. Eigen, Stadt",2748,52,1688
"Wasungen, Stadt",98634,29.51,1701
"Lauscha, Stadt",98724,18.72,1663
"Kranichfeld, Stadt",99448,23.1,1675
"Kaltennordheim, Stadt",36452,40.47,1703
"Berga/Elster, Stadt",7980,43.52,1664
"Ostheim v.d.Rhön, St",97645,40.85,1679
"Hohnstein, Stadt",1848,64.64,1671
"Egeln, Stadt",39435,29.14,1640
"Ulmen, Stadt",56766,28.74,1654
"Kirchenlamitz, St",95158,48.48,1618
"Döbern, Stadt",3159,15.79,1574
"Wesselburen, Stadt",25764,5.14,1583
"Oberriexingen, Stadt",71739,8.16,1661
"Löwenstein, Stadt",74245,23.46,1656
"Stromberg, Stadt",55442,9.01,1585
"Sonnewalde, Stadt",3249,119.29,1667
"Nebra (Unstrut), Stadt",6642,25.42,1593
"Havelsee, Stadt",14798,81.97,1635
"Warin, Stadt",19417,44.45,1585
"Lychen, Stadt",17279,111.99,1561
"Wurzbach, Stadt",7343,72.32,1604
"Kirtorf, Stadt",36320,79.91,1623
"Burgbernheim, St",91593,42.3,1581
"Schöneck/Vogtl., Stadt",8261,55.06,1551
"Schönwald, St",95173,19.19,1542
"Bärnau, St",95671,74.41,1648
"Kaisersesch, Stadt",56759,8.18,1543
"Hillesheim, Stadt",54576,20.66,1557
"Weißenberg, Stadt",2627,50.96,1626
"Weißenstadt, St",95163,42.23,1538
"Lebus, Stadt",15326,54.29,1583
"Stadtsteinach, St",95346,39.79,1530
"Fridingen an der Donau, Stadt",78567,22.47,1565
"Liebenau, Stadt",34396,48.87,1511
"Klütz, Stadt",23948,44.41,1497
"Marktleuthen, St",95168,35.48,1525
"Bad Teinach-Zavelstein, Stadt",75385,25.17,1606
"Prichsenstadt, St",97357,48.87,1587
"Schönewalde, Stadt",4916,156.18,1609
"Bürgel, Stadt",7616,27.19,1532
"Waischenfeld, St",91344,57.19,1583
"Hatzfeld (Eder), Stadt",35116,58.51,1566
"Wolframs-Eschenbach, St",91639,25.47,1525
"Dömitz, Stadt",19303,60.57,1492
"Gützkow, Stadt",17506,57.65,1528
"Wesenberg, Stadt",17255,89.64,1508
"Eibelstadt, St",97246,7.07,1455
"Braubach, Stadt",56338,19.5,1522
"Waldenburg, Stadt",74638,31.55,1552
"Lindow (Mark), Stadt",16835,65.47,1552
"Ulrichstein, Stadt",35327,65.61,1525
"Jarmen, Stadt",17126,30.71,1498
"Friedland, Stadt",15848,174.23,1512
"Münchenbernsdorf, Stadt",7589,15.45,1441
"Schalkau, Stadt",96528,33.57,1469
"Merkendorf, St",91732,26.07,1489
"Frankenau, Stadt",35110,57.29,1474
"Adenau, Stadt",53518,18.56,1430
"Rhens, Stadt",56321,16.31,1426
"Gnoien, Stadt",17179,41.11,1432
"Laucha an der Unstrut, Stadt",6636,31.14,1471
"Remda-Teichel, Stadt",7407,79.76,1483
"Elterlein, Stadt",9481,45.74,1449
"Themar, Stadt",98660,20.18,1415
"Frauenstein, Stadt",9623,59,1466
"Meisenheim, Stadt",55590,10.33,1399
"Wustrow (Wendland), Stadt",29462,30.19,1426
"Oberwesel, Stadt",55430,18.08,1374
"Ravenstein, Stadt",74747,55.97,1452
"Elstra, Stadt",1920,32.63,1410
"Schillingsfürst, St",91583,27.5,1389
"Bad Bibra, Stadt",6647,49.77,1407
"Selters (Westerwald), Stadt",56242,8.7,1385
"Jöhstadt, Stadt",9477,49.7,1413
"Wallenfels, St",96346,45.65,1374
"Sankt Goar, Stadt",56329,23.17,1375
"Putlitz, Stadt",16949,119.68,1418
"Romrod, Stadt",36329,54.43,1349
"Sulzburg, Stadt",79295,22.74,1309
"Tribsees, Stadt",18465,54.98,1287
"Garding, Stadt",25836,3.06,1252
"Ebeleben, Stadt",99713,40.74,1323
"Großbreitenbach, Stadt",98701,19.6,1344
"Wegeleben, Stadt",38828,51.78,1319
"Schkölen, Stadt",7619,53.43,1322
"Kohren-Sahlis, Stadt",4655,36.8,1303
"Alsleben (Saale), Stadt",6425,23.64,1237
"Bad Wilsnack, Stadt",19336,79.62,1235
"Golßen, Stadt",15938,63.68,1279
"Lauterstein, Stadt",73111,23.31,1261
"Brüel, Stadt",19412,27.21,1265
"Friesack, Stadt",14662,84.01,1299
"Friedrichstadt, Stadt",25840,4.03,1190
"Schwanebeck, Stadt",39397,32.66,1233
"Gartz (Oder), Stadt",16307,61.89,1227
"Bad Tennstedt, Stadt",99955,27.42,1231
"Dommitzsch, Stadt",4880,30.44,1237
"Scheer, Stadt",72516,18.72,1276
"Gefell, Stadt",7926,45.22,1226
"Betzenstein, St",91282,51.84,1246
"Buttstädt, Stadt",99628,18.36,1235
"Osterfeld, Stadt",6721,27.61,1280
"Rastenberg, Stadt",99636,35.52,1247
"Schönau im Schwarzwald, Stadt",79677,14.72,1223
"Schönsee, St",92539,50.28,1223
"Ziesar, Stadt",14793,67.95,1196
"Pleystein, St",92714,42.4,1207
"Schlieben, Stadt",4936,78.65,1199
"Stadtlengsfeld, Stadt",36457,27.7,1229
"Großenehrich, Stadt",99718,63.34,1214
"Eckartsberga, Stadt",6648,35.97,1225
"Grebenau, Stadt",36323,55.37,1229
"Schlettau, Stadt",9487,21.22,1155
"Krempe, Stadt",25361,3.39,1166
"Ostritz, Stadt",2899,23.48,1160
"Creuzburg, Stadt",99831,35.4,1164
"Rethem (Aller), Stadt",27336,34.03,1144
"Fladungen, St",97650,46.34,1179
"Aach, Stadt",78267,10.68,1168
"Heldrungen, Stadt",6577,23.27,1110
"Katzenelnbogen, Stadt",56368,9.18,1077
"Garz/Rügen, Stadt",18574,65.89,1118
"Rosenthal, Stadt",35119,51.54,1112
"Hayingen, Stadt",72534,63.36,1133
"Hirschberg, Stadt",7927,24.13,1084
"Oderberg, Stadt",16248,36.12,1108
"Lenzen (Elbe), Stadt",19309,96.19,1049
"Mainbernheim, St",97350,12.21,1086
"Oberwiesenthal, Kurort, Stadt",9484,40.02,1049
"Leutenberg, Stadt",7338,57.52,1060
"Ortrand, Stadt",1990,7.36,1029
"Rerik, Stadt",18230,34.22,1012
"Gebesee, Stadt",99189,24.08,1064
"Königstein/Sächs. Schw., Stadt",1824,27.05,1075
"Veringenstadt, Stadt",72519,31.25,1071
"Meyenburg, Stadt",16945,50.74,1068
"Scheibenberg, Stadt",9481,9,1062
"Lauterecken, Stadt",67742,8.89,1015
"Wiesensteig, Stadt",73349,23.41,1057
"Bad Colberg-Heldburg, Stadt",98663,53.39,1052
"Magdala, Stadt",99441,20.58,1009
"Niemegk, Stadt",14823,45.12,1044
"Gräfenthal, Stadt",98743,36.42,989
"Teuschnitz, St",96358,34.25,966
"Rieneck, St",97794,26.19,962
"Wolfstein, Stadt",67752,13.75,999
"Marktsteft, St",97342,10.51,1030
"Sachsenhagen, Stadt",31553,15.29,958
"Schauenstein, St",95197,26.66,949
"Bacharach, Stadt",55422,23.35,950
"Wiehe, Stadt",6571,24.51,943
"Plaue, Stadt",99338,18.19,945
"Brüssow, Stadt",17326,101.83,945
"Kindelbrück, Stadt",99638,13.36,929
"Penkun, Stadt",17328,78.88,953
"Teupitz, Stadt",15755,48.15,967
"Sayda, Stadt",9619,35.3,922
"Velden, St",91235,21.34,916
"Widdern, Stadt",74259,25.23,937
"Langenburg, Stadt",74595,31.4,930
"Usedom, Stadt",17406,38.98,889
"Hettingen, Stadt",72513,46.06,907
"Neukalen, Stadt",17154,47.97,874
"Bad Sülze, Stadt",18334,26.66,872
"Ranis, Stadt",7389,10.57,829
"Röttingen, St",97285,27.21,836
"Oberweißbach/Thür. Wald, Stadt",98744,9.65,789
"Lehesten, Stadt",7349,35.94,841
"Ornbau, St",91737,15.16,834
"Oberhof, Stadt",98559,23.4,792
"Rhinow, Stadt",14728,31.66,809
"Stadt Wehlen, Stadt",1829,10.85,821
"Neuerburg, Stadt",54673,10.17,781
"Arneburg, Stadt",39596,30.64,744
"Lassan, Stadt",17440,28.18,779
"Stadtprozelten, St",97909,10.87,770
"Buckow (Märkische Schweiz), Stadt",15377,14.42,734
"Hohenleuben, Stadt",7958,9.53,801
"Aub, St",97239,17.54,756
"Hornbach, Stadt",66500,13.33,745
"Kroppenstedt, Stadt",39397,38.65,729
"Hohenberg a.d.Eger, St",95691,15.66,701
"Franzburg, Stadt",18461,15.2,673
"Schwarzenborn, Stadt",34639,26.9,809
"Manderscheid, Stadt",54531,10.06,654
"Lieberose, Stadt",15868,73.03,678
"Liebstadt, Stadt",1825,37.36,698
"Sankt Goarshausen, Loreleystadt, Stadt",56346,7.06,672
"Richtenberg, Stadt",18461,15.68,665
"Buttelstedt, Stadt",99439,18.85,665
"Neustadt am Kulm, St",95514,20.3,543
"Orlamünde, Stadt",7768,7.47,550
"Schraplau, Stadt",6279,7.06,549
"Werben (Elbe), Hansestadt",39615,53.37,566
"Obermoschel, Stadt",67823,10.15,524
"Kupferberg, St",95362,8.29,527
"Lichtenberg, St",95192,9.47,504
"Clingen, Stadt",99718,10.75,502
"Rothenfels, St",97851,12.07,517
"Stößen, Stadt",6667,7.29,430
"Kyllburg, Stadt",54655,4.62,450
"Sandau (Elbe), Stadt",39524,18.58,417
"Kaub, Stadt",56349,13.05,443
"Märkisch Buchholz, Stadt",15748,24.86,391
"Ziegenrück, Stadt",7924,8.25,317
"Schnackenburg, Stadt",29493,23.76,278
"Neumark, Stadt",99439,8.67,247
"Ummerstadt, Stadt",98663,15.73,246
"Arnis, Stadt",24399,0.45,143
