Stadt,"Post-leitzahl 1)","Fläche in km2 2)",männlich
"Neuruppin, Stadt",16816,305.25,15208
"Gevelsberg, Stadt",58285,26.34,15076
"Riesa, Stadt",1589,58.91,14992
"Emmerich am Rhein, Stadt",46446,80.4,15583
"Werl, Stadt",59457,76.35,15776
"Radolfzell am Bodensee, Stadt",78315,58.55,14897
"Geesthacht, Stadt",21502,33.25,14917
"Haan, Stadt",42781,24.19,14574
"Osterholz-Scharmbeck, Stadt",27711,147.17,14921
"Lohmar, Stadt",53797,65.62,14968
"Burgdorf, Stadt",31303,112.56,14872
"Schwedt/Oder, Stadt",16303,205.56,14509
"Weil am Rhein, Stadt",79576,19.46,14621
"Meschede, Kreis- und  Hochschulstadt",59872,218.5,14893
"Ennepetal, Stadt der Kluterthöhle",58256,57.77,14581
"Werne, Stadt",59368,76.14,14488
"Merzig, Kreisstadt",66663,108.98,14742
"Andernach, Stadt",56626,53.34,14389
"Bad Hersfeld, Kreisstadt",36251,73.82,14477
"Neuburg a.d.Donau, GKSt",86633,81.29,14908
"Friedberg, St",86316,81.25,14438
"Taunusstein, Stadt",65232,67.03,14278
"Rietberg, Stadt",33397,110.31,14861
"Höxter, Stadt",37671,158.16,14564
"Gaggenau, Stadt",76571,65.01,14406
"Oelde, Stadt",59302,102.77,14670
"Waltrop, Stadt",45731,47.09,14195
"Tönisvorst, Stadt",47918,44.34,14239
"Güstrow, Stadt",18273,71.09,14139
"Vaihingen an der Enz, Stadt",71665,73.4,14469
"Northeim, Stadt",37154,145.85,14163
"Bretten, Stadt",75015,71.1,14416
"Bühl, Stadt",77815,73.18,14186
"Zeitz, Stadt",6712,87.18,13988
"Landsberg am Lech, GKSt",86899,57.91,14395
"Springe, Stadt",31832,160.12,13976
"Rösrath, Stadt",51503,38.8,14126
"Unterschleißheim, St",85716,14.93,14509
"Kelkheim (Taunus), Stadt",65779,30.65,14079
"Schwandorf, GKSt",92421,123.81,14291
"Friedberg (Hessen), Kreisstadt",61169,50.17,14279
"Schwelm, Stadt",58332,20.49,13722
"Idar-Oberstein, Stadt",55743,91.58,13880
"Grimma, Stadt",4668,218.25,13952
"Kevelaer, Stadt",47623,100.64,13916
"Rendsburg, Stadt",24768,23.73,13926
"Wegberg, Stadt",41844,84.34,13886
"Winnenden, Stadt",71364,28.05,13956
"Mühlheim am Main, Stadt",63165,20.67,13925
"Leichlingen (Rheinland), Blütenstadt",42799,37.26,13546
"Sundern (Sauerland), Stadt",59846,193.27,14069
"Meißen, Stadt",1662,30.92,13481
"Bad Neuenahr-Ahrweiler, Stadt",53474,63.38,13005
"Wetter (Ruhr), Stadt",58300,31.55,13680
"Königsbrunn, St",86343,18.4,13727
"Aschersleben, Stadt",6449,156.22,13399
"Baunatal, Stadt",34225,38.26,13408
