Stadt,"Post-leitzahl 1)","Fläche in km2 2)",insgesamt,männlich,weiblich,"je km2"
"Reinbek, Stadt",21465,31.23,27366,13460,13906,876
"Olching, St",82140,29.92,27345,13332,14013,914
"Hattersheim am Main, Stadt",65795,15.81,27312,13634,13678,1727
"Sangerhausen, Stadt",06526,207.66,27265,13363,13902,131
"Mechernich, Stadt",53894,136.48,27235,13616,13619,200
"Rheinbach, Stadt",53359,69.72,27217,13530,13687,390
"Neukirchen-Vluyn, Stadt",47506,43.5,27200,13174,14026,625
"Wangen im Allgäu, Stadt",88239,101.35,27135,13207,13928,268
"Overath, Stadt",51491,68.88,27118,13375,13743,394
"Griesheim, Stadt",64347,21.55,27103,13567,13536,1258
